iter	Passed	Remaining
0	50	4990
1	51	2519
2	53	1718
3	55	1325
4	55	1057
5	58	915
6	59	787
7	59	684
8	62	630
9	63	568
10	64	522
11	65	479
12	66	443
13	66	411
14	67	382
15	68	358
16	69	337
17	71	323
18	71	306
19	72	291
20	73	277
21	74	265
22	75	253
23	76	242
24	77	233
25	78	224
26	80	218
27	82	211
28	83	203
29	84	196
30	85	190
31	87	185
32	89	180
33	90	176
34	92	171
35	93	166
36	95	161
37	98	160
38	99	156
39	101	152
40	103	148
41	106	146
42	108	144
43	110	140
44	111	136
45	113	133
46	114	129
47	116	126
48	117	122
49	118	118
50	119	114
51	120	111
52	121	107
53	122	104
54	123	100
55	124	97
56	125	94
57	127	92
58	128	89
59	132	88
60	135	86
61	138	84
62	140	82
63	141	79
64	143	77
65	145	74
66	146	72
67	147	69
68	149	67
69	151	64
70	152	62
71	153	59
72	155	57
73	156	55
74	158	52
75	158	50
76	159	47
77	160	45
78	161	42
79	161	40
80	163	38
81	164	36
82	166	34
83	168	32
84	169	29
85	170	27
86	171	25
87	173	23
88	174	21
89	177	19
90	179	17
91	180	15
92	182	13
93	184	11
94	187	9
95	188	7
96	189	5
97	190	3
98	191	1
99	192	0
